"Date","Price","Open","High","Low","Vol.","Change %"
"08/20/2014","912.00","912.00","912.00","912.00","","1.11%"
"08/19/2014","902.00","902.00","902.00","902.00","","1.46%"
"08/18/2014","889.00","889.00","889.00","889.00","","1.37%"
"08/15/2014","877.00","877.00","877.00","877.00","","1.86%"
"08/14/2014","861.00","861.00","861.00","861.00","","1.89%"
"08/13/2014","845.00","845.00","845.00","845.00","","1.93%"
"08/12/2014","829.00","829.00","829.00","829.00","","1.22%"
"08/11/2014","819.00","819.00","819.00","819.00","","1.87%"
"08/08/2014","804.00","804.00","804.00","804.00","","2.42%"
"08/07/2014","785.00","785.00","785.00","785.00","","2.35%"
"08/06/2014","767.00","767.00","767.00","767.00","","1.86%"
"08/05/2014","753.00","753.00","753.00","753.00","","1.76%"
"08/04/2014","740.00","740.00","740.00","740.00","","1.65%"
"08/01/2014","728.00","728.00","728.00","728.00","","1.68%"
"07/31/2014","716.00","716.00","716.00","716.00","","1.70%"
"07/30/2014","704.00","704.00","704.00","704.00","","2.33%"
"07/29/2014","688.00","688.00","688.00","688.00","","0.58%"
"07/28/2014","684.00","684.00","684.00","684.00","","0.74%"
"07/25/2014","679.00","679.00","679.00","679.00","","1.95%"
"07/24/2014","666.00","666.00","666.00","666.00","","0.76%"
"07/23/2014","661.00","661.00","661.00","661.00","","0.00%"
"07/22/2014","661.00","661.00","661.00","661.00","","0.30%"
"07/21/2014","659.00","659.00","659.00","659.00","","0.00%"
"07/18/2014","659.00","659.00","659.00","659.00","","-0.15%"
"07/17/2014","660.00","660.00","660.00","660.00","","-0.90%"
"07/16/2014","666.00","666.00","666.00","666.00","","-0.75%"
"07/15/2014","671.00","671.00","671.00","671.00","","-0.59%"
"07/14/2014","675.00","675.00","675.00","675.00","","-0.59%"
"07/11/2014","679.00","679.00","679.00","679.00","","-0.29%"
"07/10/2014","681.00","681.00","681.00","681.00","","-0.44%"
"07/09/2014","684.00","684.00","684.00","684.00","","-0.44%"
"07/08/2014","687.00","687.00","687.00","687.00","","0.15%"
"07/07/2014","686.00","686.00","686.00","686.00","","0.59%"
"07/04/2014","682.00","682.00","682.00","682.00","","0.29%"
"07/03/2014","680.00","680.00","680.00","680.00","","0.44%"
"07/02/2014","677.00","677.00","677.00","677.00","","0.15%"
"07/01/2014","676.00","676.00","676.00","676.00","","0.15%"
"06/30/2014","675.00","675.00","675.00","675.00","","-0.44%"
"06/27/2014","678.00","678.00","678.00","678.00","","-0.15%"
"06/26/2014","679.00","679.00","679.00","679.00","","-1.16%"
"06/25/2014","687.00","687.00","687.00","687.00","","-1.01%"
"06/24/2014","694.00","694.00","694.00","694.00","","-1.00%"
"06/23/2014","701.00","701.00","701.00","701.00","","-0.43%"
"06/20/2014","704.00","704.00","704.00","704.00","","-0.56%"
"06/19/2014","708.00","708.00","708.00","708.00","","-0.98%"
"06/18/2014","715.00","715.00","715.00","715.00","","-1.24%"
"06/17/2014","724.00","724.00","724.00","724.00","","-2.16%"
"06/16/2014","740.00","740.00","740.00","740.00","","-1.07%"
